strategy,1,2,3,4,5,6,7,8,9,10
Canfield Expert,0,0,1,1,1,1,1,0,-1,-1
Canfield Master,0,1,1,2,2,2,1,0,-1,-2
Hi-Lo,-1,1,1,1,1,1,0,0,0,-1
Hi-Opt I,0,0,1,1,1,1,0,0,0,-1
Hi-Opt II,0,1,1,2,2,1,1,0,0,-2
KISS 2,0,0.5,1,1,1,1,0,0,0,-1
KISS 3,-1,0.5,1,1,1,1,1,0,0,-1
K-O,-1,1,1,1,1,1,1,0,0,-1
Mentor,-1,1,2,2,2,2,1,0,-1,-2
Omega II,0,1,1,2,2,2,1,0,-1,-2
Red Seven,-1,1,1,1,1,1,0.5,0,0,-1
REKO,-1,1,1,1,1,1,1,0,0,-1
Revere Plus-Minus,0,1,1,1,1,1,0,0,-1,-1
Revere Point Count,-2,1,2,2,2,2,1,0,0,-2
Revere RAPC,-4,2,3,3,4,3,2,0,-1,-3
Revere 14 Count,0,2,2,3,4,2,1,0,-2,-3
Silver Fox,-1,1,1,1,1,1,1,0,-1,-1
Unbalanced Zen 2,-1,1,2,2,2,2,1,0,0,-2
Uston Adv. Plus-Minus,-1,0,1,1,1,1,1,0,0,-1
Uston APC,0,1,2,2,3,2,2,1,-1,-3
Uston SS,-2,2,2,2,3,2,1,0,-1,-2
Wong Halves,-1,0.5,1,1,1.5,1,0.5,0,-0.5,-1
Zen Count,-1,1,1,2,2,2,1,0,0,-2
